time,Urumewella_A&T Labs,Kotikawatta_Leecom,Kahawatta_Icharm,Kalawana_Icharm,Kalutara_Icharm,Dompe_Icharm,Uduwawala_CUrW IoT,Orugodawatta_CUrW IoT,Mahapallegama_A&T Labs,Kottawa North Dharmapala School_Leecom,IBATTARA2_CUrW IoT,Hingurana_CUrW IoT,Jaffna_CUrW IoT,Kohuwala_A&T Labs,Ambewela Farm_A&T Labs,Ratnapura_Icharm,Mulleriyawa_A&T Labs
2019-05-29 00:00:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 00:15:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 00:30:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 00:45:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 01:00:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 01:15:00,0.000,0.000,0.000,0.000,0.000,0.050,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 01:30:00,0.000,0.000,0.000,0.000,0.000,0.050,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 01:45:00,0.000,0.000,0.000,0.000,0.000,0.050,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 02:00:00,0.000,0.000,0.000,0.000,0.000,0.050,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 02:15:00,0.000,0.000,0.000,0.000,0.000,0.150,,,0.000,0.000,,,0.000,0.000,0.000,0.450,
2019-05-29 02:30:00,0.000,0.000,0.000,0.000,0.000,0.150,,,0.000,0.000,,,0.000,0.000,0.000,0.450,
2019-05-29 02:45:00,0.000,0.000,0.000,0.000,0.000,0.150,,,0.000,0.000,,,0.000,0.000,0.000,0.450,
2019-05-29 03:00:00,0.000,0.000,0.000,0.000,0.000,0.150,,,0.100,0.000,,,0.000,0.000,0.000,0.450,
2019-05-29 03:15:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 03:30:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 03:45:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 04:00:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 04:15:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.050,
2019-05-29 04:30:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.050,
2019-05-29 04:45:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.050,
2019-05-29 05:00:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.050,
2019-05-29 05:15:00,0.000,1.400,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 05:30:00,0.000,3.800,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 05:45:00,0.000,0.400,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 06:00:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 06:15:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 06:30:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 06:45:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 07:00:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 07:15:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 07:30:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 07:45:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 08:00:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,2.800,0.000,0.000,
2019-05-29 08:15:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,1.200,0.000,0.000,
2019-05-29 08:30:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.100,0.000,0.000,
2019-05-29 08:45:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 09:00:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 09:15:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 09:30:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 09:45:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 10:00:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 10:15:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 10:30:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 10:45:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 11:00:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 11:15:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 11:30:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 11:45:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 12:00:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 12:15:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 12:30:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 12:45:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 13:00:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 13:15:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 13:30:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 13:45:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 14:00:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 14:15:00,0.000,0.000,0.600,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 14:30:00,0.000,0.000,0.600,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 14:45:00,0.000,0.000,0.600,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 15:00:00,0.000,0.000,0.600,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.000,
2019-05-29 15:15:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,,,0.000,0.000,0.000,0.200,
2019-05-29 15:30:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,,,,0.000,0.000,0.000,0.200,
2019-05-29 15:45:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,,,,0.000,0.000,0.000,0.200,
2019-05-29 16:00:00,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,,,,0.000,0.000,0.000,0.200,
2019-05-29 16:15:00,0.000,0.000,0.200,0.000,0.000,0.000,,,0.000,,,,0.000,0.000,0.000,0.000,
2019-05-29 16:30:00,0.000,0.000,0.200,0.000,0.000,0.000,,,0.000,,,,0.000,0.000,0.000,0.000,
