longitude,latitude,value
79.521461,5.722969,0.000
79.521461,5.750061,0.000
79.521461,5.777153,0.000
79.521461,5.804245,0.000
79.521461,5.831329,0.000
79.521461,5.858421,0.000
79.521461,5.885506,0.000
79.521461,5.912590,0.000
79.521461,5.939682,0.000
79.521461,5.966759,0.000
79.521461,5.993843,0.000
79.521461,6.020920,0.000
79.521461,6.047997,0.000
79.521461,6.075073,0.000
79.521461,6.102150,0.000
79.521461,6.129227,0.000
79.521461,6.156296,0.000
79.521461,6.183365,0.000
79.521461,6.210442,0.000
79.521461,6.237511,0.000
79.521461,6.264572,0.000
79.521461,6.291641,0.000
79.521461,6.318710,0.000
79.521461,6.345772,0.000
79.521461,6.372833,0.000
79.521461,6.399895,0.000
79.521461,6.426949,0.000
79.521461,6.454010,0.000
79.521461,6.481064,0.000
79.521461,6.508125,0.000
79.521461,6.535172,0.000
79.521461,6.562225,0.000
79.521461,6.589272,0.000
79.521461,6.616318,0.000
79.521461,6.643364,0.000
79.521461,6.670418,0.000
79.521461,6.697456,0.000
79.521461,6.724495,0.000
79.521461,6.751541,0.000
79.521461,6.778587,0.000
79.521461,6.805618,0.000
79.521461,6.832657,0.000
79.521461,6.859688,0.000
79.521461,6.886719,0.000
79.521461,6.913757,0.000
79.521461,6.940788,0.000
79.521461,6.967812,0.000
79.521461,6.994843,0.000
79.521461,7.021873,0.000
79.521461,7.048897,0.000
79.521461,7.075912,0.000
79.521461,7.102936,0.000
79.521461,7.129959,0.000
79.521461,7.156975,0.000
79.521461,7.183998,0.000
79.521461,7.211006,0.000
79.521461,7.238014,0.000
79.521461,7.265030,0.000
79.521461,7.292038,0.000
79.521461,7.319054,0.000
79.521461,7.346046,0.000
79.521461,7.373055,0.000
79.521461,7.400063,0.000
79.521461,7.427063,0.000
79.521461,7.454071,0.000
79.521461,7.481064,0.000
79.521461,7.508057,0.000
79.521461,7.535057,0.000
79.521461,7.562050,0.000
79.521461,7.589035,0.000
79.521461,7.616028,0.000
79.521461,7.643021,0.000
79.521461,7.670006,0.000
79.521461,7.696991,0.000
79.521461,7.723969,0.000
79.521461,7.750954,0.000
79.521461,7.777931,0.000
79.521461,7.804909,0.000
79.521461,7.831886,0.000
79.521461,7.858864,0.000
79.521461,7.885834,0.000
79.521461,7.912804,0.000
79.521461,7.939774,0.000
79.521461,7.966743,0.000
79.521461,7.993706,0.000
79.521461,8.020668,0.000
79.521461,8.047630,0.000
79.521461,8.074585,0.000
79.521461,8.101547,0.000
79.521461,8.128502,0.000
79.521461,8.155464,0.000
79.521461,8.182411,0.000
79.521461,8.209366,0.000
79.521461,8.236313,0.000
79.521461,8.263260,0.000
79.521461,8.290207,0.000
79.521461,8.317154,0.000
79.521461,8.344101,0.000
79.521461,8.371033,0.000
79.521461,8.397972,0.000
79.521461,8.424904,0.000
79.521461,8.451843,0.000
79.521461,8.478775,0.000
79.521461,8.505707,0.000
79.521461,8.532631,0.000
79.521461,8.559563,0.000
79.521461,8.586479,0.000
79.521461,8.613403,0.000
79.521461,8.640327,0.000
79.521461,8.667244,0.000
79.521461,8.694168,0.000
79.521461,8.721085,0.000
79.521461,8.747993,0.000
79.521461,8.774902,0.000
79.521461,8.801819,0.000
79.521461,8.828720,0.000
79.521461,8.855629,0.000
79.521461,8.882538,0.000
79.521461,8.909431,0.000
79.521461,8.936333,0.000
79.521461,8.963234,0.000
79.521461,8.990128,0.000
79.521461,9.017021,0.000
79.521461,9.043915,0.000
