longitude,latitude,value
79.603149,6.616318,0.000
79.603149,6.643364,0.000
79.603149,6.670418,0.000
79.603149,6.697456,0.000
79.603149,6.724495,0.000
79.603149,6.751541,0.000
79.603149,6.778587,0.000
79.603149,6.805618,0.000
79.603149,6.832657,0.000
79.603149,6.859688,0.000
79.603149,6.886719,0.000
79.603149,6.913757,0.000
79.603149,6.940788,0.000
79.603149,6.967812,0.000
79.603149,6.994843,0.000
79.603149,7.021873,0.000
79.603149,7.048897,0.000
79.603149,7.075912,0.000
79.603149,7.102936,0.000
79.603149,7.129959,0.000
79.603149,7.156975,0.000
79.603149,7.183998,0.000
79.603149,7.211006,0.000
79.603149,7.238014,0.000
79.603149,7.265030,0.000
79.603149,7.292038,0.000
79.603149,7.319054,0.000
79.603149,7.346046,0.000
79.603149,7.373055,0.000
79.630379,6.616318,0.000
79.630379,6.643364,0.000
79.630379,6.670418,0.000
79.630379,6.697456,0.000
79.630379,6.724495,0.000
79.630379,6.751541,0.000
79.630379,6.778587,0.000
79.630379,6.805618,0.000
79.630379,6.832657,0.000
79.630379,6.859688,0.000
79.630379,6.886719,0.000
79.630379,6.913757,0.000
79.630379,6.940788,0.000
79.630379,6.967812,0.000
79.630379,6.994843,0.000
79.630379,7.021873,0.000
79.630379,7.048897,0.000
79.630379,7.075912,0.000
79.630379,7.102936,0.000
79.630379,7.129959,0.000
79.630379,7.156975,0.000
79.630379,7.183998,0.000
79.630379,7.211006,0.000
79.630379,7.238014,0.000
79.630379,7.265030,0.001
79.630379,7.292038,0.001
79.630379,7.319054,0.000
79.630379,7.346046,0.000
79.630379,7.373055,0.000
79.657608,6.616318,0.000
79.657608,6.643364,0.000
79.657608,6.670418,0.000
79.657608,6.697456,0.000
79.657608,6.724495,0.000
79.657608,6.751541,0.000
79.657608,6.778587,0.000
79.657608,6.805618,0.000
79.657608,6.832657,0.000
79.657608,6.859688,0.000
79.657608,6.886719,0.000
79.657608,6.913757,0.000
79.657608,6.940788,0.000
79.657608,6.967812,0.000
79.657608,6.994843,0.000
79.657608,7.021873,0.000
79.657608,7.048897,0.000
79.657608,7.075912,0.000
79.657608,7.102936,0.000
79.657608,7.129959,0.000
79.657608,7.156975,0.000
79.657608,7.183998,0.000
79.657608,7.211006,0.000
79.657608,7.238014,0.000
79.657608,7.265030,0.001
79.657608,7.292038,0.009
79.657608,7.319054,0.011
79.657608,7.346046,0.003
79.657608,7.373055,0.000
79.684837,6.616318,0.000
79.684837,6.643364,0.000
79.684837,6.670418,0.000
79.684837,6.697456,0.000
79.684837,6.724495,0.000
79.684837,6.751541,0.000
79.684837,6.778587,0.000
79.684837,6.805618,0.000
79.684837,6.832657,0.000
79.684837,6.859688,0.000
79.684837,6.886719,0.000
79.684837,6.913757,0.000
79.684837,6.940788,0.000
79.684837,6.967812,0.000
79.684837,6.994843,0.000
79.684837,7.021873,0.000
79.684837,7.048897,0.000
79.684837,7.075912,0.000
79.684837,7.102936,0.000
79.684837,7.129959,0.000
79.684837,7.156975,0.000
79.684837,7.183998,0.000
79.684837,7.211006,0.000
79.684837,7.238014,0.000
79.684837,7.265030,0.000
79.684837,7.292038,0.004
79.684837,7.319054,0.013
79.684837,7.346046,0.006
79.684837,7.373055,0.000
79.712067,6.616318,0.000
79.712067,6.643364,0.000
79.712067,6.670418,0.000
79.712067,6.697456,0.000
79.712067,6.724495,0.000
79.712067,6.751541,0.000
79.712067,6.778587,0.000
79.712067,6.805618,0.000
79.712067,6.832657,0.000
79.712067,6.859688,0.000
79.712067,6.886719,0.000
79.712067,6.913757,0.000
79.712067,6.940788,0.000
79.712067,6.967812,0.000
79.712067,6.994843,0.000
79.712067,7.021873,0.000
79.712067,7.048897,0.000
79.712067,7.075912,0.000
79.712067,7.102936,0.000
79.712067,7.129959,0.000
79.712067,7.156975,0.000
79.712067,7.183998,0.000
79.712067,7.211006,0.000
79.712067,7.238014,0.000
79.712067,7.265030,0.000
79.712067,7.292038,0.000
79.712067,7.319054,0.001
79.712067,7.346046,0.001
79.712067,7.373055,0.000
79.739296,6.616318,0.000
79.739296,6.643364,0.000
79.739296,6.670418,0.000
79.739296,6.697456,0.000
79.739296,6.724495,0.000
79.739296,6.751541,0.000
79.739296,6.778587,0.000
79.739296,6.805618,0.000
79.739296,6.832657,0.000
79.739296,6.859688,0.000
79.739296,6.886719,0.000
79.739296,6.913757,0.000
79.739296,6.940788,0.000
79.739296,6.967812,0.000
79.739296,6.994843,0.000
79.739296,7.021873,0.000
79.739296,7.048897,0.000
79.739296,7.075912,0.000
79.739296,7.102936,0.000
79.739296,7.129959,0.000
79.739296,7.156975,0.000
79.739296,7.183998,0.000
79.739296,7.211006,0.000
79.739296,7.238014,0.000
79.739296,7.265030,0.000
79.739296,7.292038,0.000
79.739296,7.319054,0.000
79.739296,7.346046,0.000
79.739296,7.373055,0.000
79.766525,6.616318,0.000
79.766525,6.643364,0.000
79.766525,6.670418,0.000
79.766525,6.697456,0.000
79.766525,6.724495,0.000
79.766525,6.751541,0.000
79.766525,6.778587,0.000
79.766525,6.805618,0.000
79.766525,6.832657,0.000
79.766525,6.859688,0.000
79.766525,6.886719,0.000
79.766525,6.913757,0.000
79.766525,6.940788,0.000
79.766525,6.967812,0.000
79.766525,6.994843,0.000
79.766525,7.021873,0.000
79.766525,7.048897,0.000
79.766525,7.075912,0.000
79.766525,7.102936,0.000
79.766525,7.129959,0.000
79.766525,7.156975,0.000
79.766525,7.183998,0.000
79.766525,7.211006,0.000
79.766525,7.238014,0.000
79.766525,7.265030,0.000
79.766525,7.292038,0.000
79.766525,7.319054,0.000
79.766525,7.346046,0.000
79.766525,7.373055,0.000
79.793747,6.616318,0.000
79.793747,6.643364,0.000
79.793747,6.670418,0.000
79.793747,6.697456,0.000
79.793747,6.724495,0.000
79.793747,6.751541,0.000
79.793747,6.778587,0.000
79.793747,6.805618,0.000
79.793747,6.832657,0.000
79.793747,6.859688,0.000
79.793747,6.886719,0.000
79.793747,6.913757,0.000
79.793747,6.940788,0.000
79.793747,6.967812,0.000
79.793747,6.994843,0.000
79.793747,7.021873,0.000
79.793747,7.048897,0.000
79.793747,7.075912,0.000
79.793747,7.102936,0.000
79.793747,7.129959,0.000
79.793747,7.156975,0.000
79.793747,7.183998,0.000
79.793747,7.211006,0.000
