 Upstream,Downstream,Observed Water Level (IC),Canal Segement
2158,2051,100066,"2158, 2051"
5401,4470,100077,"5401, 5400, 5320, 5319, 5318, 5239, 5238, 5159, 5083, 5007, 4932, 4858, 4785, 4710, 4709, 4783, 4782, 4781, 4706, 4705, 4704, 4627, 4550, 4470"
6067,5073,100077,"6067, 5992, 5993, 6070, 6150, 6151, 6073, 5998, 5921, 5846, 5847, 5848, 5849, 5850, 5851, 5774, 5697, 5621, 5541, 5461, 5383, 5305, 5227, 5228, 5150, 5073"
8188,7769,100077,"8188, 8106, 8107, 8024, 8025, 8026, 8027, 7943, 7944, 7945, 7946, 7947, 7860, 7861, 7862, 7767, 7768, 7769"
6987,6013,100077,"6987, 6986, 6907, 6906, 6905, 6904, 6903, 6902, 6828, 6827, 6755, 6683, 6611, 6541, 6470, 6398, 6325, 6248, 6169, 6090, 6013"
4836,5226,100077,"4836, 4837, 4838, 4839, 4914, 4915, 4990, 5066, 5144, 5223, 5224, 5225, 5226"
8655,491,100077,"8655, 8602, 8548, 8488, 8425, 8356, 8283, 8205, 8204, 8121, 8037, 7953, 7866, 7771, 7770, 7673, 7576, 7482, 7390, 7299, 7300, 7301, 7211, 7127, 7045, 6963, 6886, 6814, 6742, 6670, 6600, 6531, 6460, 6387, 6314, 6237, 6158, 6159, 6160, 6082, 6083, 6008, 6009, 5933, 5934, 5935, 5936, 5860, 5782, 5705, 5628, 5547, 5467, 5389, 5310, 5232, 5153, 5075, 5074, 4997, 4923, 4850, 4777, 4702, 4625, 4548, 4469, 4387, 4298, 4208, 4118, 4030, 3942, 3853, 3764, 3673, 3582, 3490, 3397, 3398, 3302, 3203, 3102, 3103, 3004, 2903, 2802, 2700, 2600, 2500, 2397, 2396, 2290, 2182, 2074, 1966, 1859, 1750, 1642, 1536, 1434, 1338, 1247, 1340, 1437, 1341, 1249, 1161, 1076, 993, 916, 840, 764, 690, 618, 619, 620, 694, 770, 771, 848, 849, 850, 775, 700, 627, 558, 491"
763,914,100069,"763, 838, 914"
1156,1073,100069,"1156, 1157, 1072, 1073"
574,271,100070,"574, 506, 439, 378, 323, 324, 271"
1414,811,100070,"1414, 1318, 1226, 1139, 1054, 971, 894, 817, 740, 815, 814, 813, 812, 811"
2288,1335,100069,"2288, 2181, 2072, 1963, 1854, 1855, 1856, 1857, 1749, 1640, 1534, 1432, 1335"
387,171,100070,"387, 386, 447, 446, 445, 444, 383, 328, 274, 273, 221, 220, 171"
605,753,100068,"605, 678, 753"
895,542,100068,"895, 973, 974, 975, 976, 899, 900, 901, 902, 827, 828, 829, 754, 755, 756, 833, 758, 684, 611, 542"
3296,2395,100077,"3296, 3197, 3095, 2996, 2895, 2795, 2695, 2696, 2697, 2597, 2496, 2395"
1532,1428,100069,"1532, 1531, 1530, 1428"
1746,1636,100069,"1746, 1637, 1636"
1839,979,100068,"1839, 1732, 1625, 1520, 1419, 1420, 1421, 1422, 1423, 1327, 1235, 1147, 1062, 979"
3652,3581,100077,"3652, 3742, 3830, 3919, 4007, 4096, 4187, 4279, 4280, 4281, 4191, 4192, 4193, 4103, 4104, 4017, 4018, 4019, 4020, 3933, 3845, 3846, 3758, 3759, 3670, 3580, 3581"
893,816,100068,"893, 892, 816"
479,214,100067,"479, 418, 364, 311, 260, 261, 214"
2071,1960,100069,"2071, 1961, 1960"
806,808,100070,"806, 807, 808"
2583,1948,100066,"2583, 2482, 2379, 2273, 2166, 2057, 1948"
604,823,100068,"604, 676, 750, 749, 748, 823"
2376,2056,100066,"2376, 2270, 2163, 2056"
115,617,100067,"115, 157, 203, 251, 303, 356, 412, 413, 475, 543, 544, 545, 546, 616, 617"
835,613,100067,"835, 836, 761, 686, 613"
3471,2371,100066,"3471, 3472, 3473, 3380, 3284, 3185, 3084, 2984, 2883, 2782, 2781, 2679, 2678, 2576, 2575, 2474, 2371"
283,665,100070,"283, 337, 393, 394, 455, 522, 592, 665"
526,523,100070,"526, 525, 524, 523"
287,338,100070,"287, 339, 338"
2693,1075,100069,"2693, 2592, 2491, 2389, 2283, 2282, 2174, 2067, 1959, 1851, 1743, 1635, 1529, 1528, 1425, 1330, 1331, 1332, 1333, 1334, 1243, 1155, 1070, 987, 988, 912, 913, 991, 1075"
1731,91,100070,"1731, 1624, 1517, 1516, 1515, 1514, 1411, 1314, 1221, 1220, 1131, 1130, 1045, 962, 885, 809, 734, 660, 587, 517, 449, 388, 333, 279, 228, 179, 134, 91"
1862,1540,100077,"1862, 1754, 1646, 1540"
2294,2077,100077,"2294, 2186, 2077"
3405,3104,100077,"3405, 3307, 3207, 3104"
1008,852,100077,"1008, 930, 853, 852"
1081,924,100077,"1081, 1082, 1083, 1001, 924"
2808,2501,100077,"2808, 2706, 2705, 2603, 2501"
3678,3400,100077,"3678, 3587, 3496, 3495, 3400"
