0           41550
C               0           41550
H             0.0           0.0
H             0.083         38.0
H             0.167         37.0
H             0.25          37.0
H             0.333         38.0
H             0.417         37.0
H             0.5           38.0
H             0.583         38.0
H             0.667         38.0
H             0.75          39.0
H             0.833         39.0
H             0.917         39.0
H             1.0           39.0
H             1.083         39.0
H             1.167         39.0
H             1.25          39.0
H             1.333         39.0
H             1.417         39.0
H             1.5           40.0
H             1.583         39.0
H             1.667         40.0
H             1.75          39.0
H             1.833         41.0
H             1.917         40.0
H             2.0           40.0
H             2.083         41.0
H             2.167         40.0
H             2.25          40.0
H             2.333         41.0
H             2.417         41.0
H             2.5           41.0
H             2.583         41.0
H             2.667         41.0
H             2.75          41.0
H             2.833         42.0
H             2.917         42.0
H             3.0           41.0
H             3.083         42.0
H             3.167         42.0
H             3.25          43.0
H             3.333         42.0
H             3.417         43.0
H             3.5           42.0
H             3.583         44.0
H             3.667         45.0
H             3.75          45.0
H             3.833         44.0
H             3.917         45.0
H             4.0           44.0
H             4.083         45.0
H             4.167         45.0
H             4.25          46.0
H             4.333         46.0
H             4.417         46.0
H             4.5           46.0
H             4.583         47.0
H             4.667         47.0
H             4.75          47.0
H             4.833         47.0
H             4.917         47.0
H             5.0           44.0
H             5.083         45.0
H             5.167         45.0
H             5.25          46.0
H             5.333         46.0
H             5.417         46.0
H             5.5           46.0
H             5.583         47.0
H             5.667         47.0
H             5.75          47.0
H             5.833         47.0
H             5.917         47.0
H             6.0           44.0
H             6.083         45.0
H             6.167         45.0
H             6.25          46.0
H             6.333         46.0
H             6.417         46.0
H             6.5           46.0
H             6.583         47.0
H             6.667         47.0
H             6.75          47.0
H             6.833         47.0
H             6.917         47.0
H             7.0           44.0
H             7.083         45.0
H             7.167         45.0
H             7.25          46.0
H             7.333         46.0
H             7.417         46.0
H             7.5           46.0
H             7.583         47.0
H             7.667         47.0
H             7.75          47.0
H             7.833         47.0
H             7.917         47.0
H             8.0           44.0
H             8.083         45.0
H             8.167         45.0
H             8.25          46.0
H             8.333         46.0
H             8.417         46.0
H             8.5           46.0
H             8.583         47.0
H             8.667         47.0
H             8.75          47.0
H             8.833         47.0
H             8.917         47.0
H             9.0           60.0
H             9.083         60.0
H             9.167         60.0
H             9.25          41.0
H             9.333         60.0
H             9.417         61.0
H             9.5           61.0
H             9.583         60.0
H             9.667         60.0
H             9.75          61.0
H             9.833         61.0
H             9.917         42.0
H             10.0          42.0
H             10.083        42.0
H             10.167        42.0
H             10.25         47.0
H             10.333        47.0
H             10.417        46.0
H             10.5          35.0
H             10.583        39.0
H             10.667        35.0
H             10.75         40.0
H             10.833        29.0
H             10.917        31.0
H             11.0          29.0
H             11.083        24.0
H             11.167        26.0
H             11.25         19.0
H             11.333        18.0
H             11.417        21.0
H             11.5          20.0
H             11.583        24.0
H             11.667        28.0
H             11.75         27.0
H             11.833        20.0
H             11.917        20.0
H             12.0          18.0
H             12.083        23.0
H             12.167        21.0
H             12.25         19.0
H             12.333        23.0
H             12.417        16.0
H             12.5          23.0
H             12.583        17.0
H             12.667        17.0
H             12.75         17.0
H             12.833        17.0
H             12.917        17.0
H             13.0          17.0
H             13.083        17.0
H             13.167        17.0
H             13.25         17.0
H             13.333        20.0
H             13.417        13.0
H             13.5          16.0
H             13.583        7.0
H             13.667        13.0
H             13.75         12.0
H             13.833        16.0
H             13.917        17.0
H             14.0          17.0
H             14.083        25.0
H             14.167        29.0
H             14.25         27.0
H             14.333        29.0
H             14.417        29.0
H             14.5          33.0
H             14.583        44.0
H             14.667        46.0
H             14.75         60.0
H             14.833        60.0
H             14.917        62.0
H             15.0          63.0
H             15.083        63.0
H             15.167        63.0
H             15.25         65.0
H             15.333        65.0
H             15.417        67.0
H             15.5          67.0
H             15.583        68.0
H             15.667        69.0
H             15.75         70.0
H             15.833        72.0
H             15.917        73.0
H             16.0          73.0
H             16.083        76.0
H             16.167        77.0
H             16.25         79.0
H             16.333        80.0
H             16.417        83.0
H             16.5          85.0
H             16.583        88.0
H             16.667        89.0
H             16.75         92.0
H             16.833        97.0
H             16.917        100.0
H             17.0          105.0
H             17.083        108.0
H             17.167        112.0
H             17.25         116.0
H             17.333        121.0
H             17.417        127.0
H             17.5          128.0
H             17.583        136.0
H             17.667        139.0
H             17.75         143.0
H             17.833        148.0
H             17.917        153.0
H             18.0          156.0
H             18.083        160.0
H             18.167        163.0
H             18.25         168.0
H             18.333        172.0
H             18.417        174.0
H             18.5          178.0
H             18.583        183.0
H             18.667        185.0
H             18.75         189.0
H             18.833        191.0
H             18.917        197.0
H             19.0          201.0
H             19.083        205.0
H             19.167        205.0
H             19.25         205.0
