 Upstream,Downstream,Observed Water Level (IC),Canal Segement
2982,3421,100069,"2982, 2981, 3125, 3271, 3424, 3423, 3422, 3421"
1606,756,100070,"1606, 1481, 1357, 1243, 1131, 1029, 936, 845, 756"
2808,4209,100068,"2808, 2951, 3095, 3241, 3394, 3549, 3705, 3865, 4036, 4209"
6557,3894,100069,"6557, 6380, 6201, 6024, 5845, 5666, 5487, 5308, 5309, 5489, 5490, 5491, 5312, 5133, 4953, 4773, 4594, 4415, 4238, 4064, 3894"
4567,416,100070,"4567, 4566, 4386, 4385, 4384, 4383, 4206, 4205, 4030, 3859, 3698, 3697, 3540, 3539, 3382, 3381, 3380, 3226, 3225, 3079, 2935, 2792, 2653, 2515, 2385, 2386, 2258, 2131, 2005, 1879, 1753, 1626, 1500, 1375, 1260, 1147, 1146, 1145, 1144, 1256, 1255, 1368, 1367, 1366, 1251, 1139, 1037, 942, 850, 761, 760, 759, 758, 669, 668, 581, 497, 416"
5081,1541,100068,"5081, 5261, 5441, 5619, 5799, 5978, 5979, 6157, 6336, 6337, 6338, 6339, 6340, 6341, 6164, 5987, 5809, 5629, 5451, 5272, 5452, 5630, 5810, 5988, 5989, 5812, 5634, 5456, 5457, 5458, 5459, 5281, 5102, 4924, 4746, 4747, 4748, 4570, 4391, 4392, 4217, 4043, 4044, 4045, 4046, 4221, 4222, 4223, 4224, 4050, 3880, 3720, 3563, 3408, 3255, 3108, 2964, 2821, 2683, 2545, 2416, 2288, 2418, 2419, 2291, 2164, 2165, 2166, 2167, 2296, 2297, 2170, 2171, 2044, 1919, 1794, 1667, 1541"
9266,6731,100069,"9266, 9097, 8927, 8756, 8584, 8417, 8251, 8082, 7912, 7913, 7744, 7745, 7575, 7576, 7577, 7578, 7579, 7409, 7240, 7070, 7071, 6901, 6902, 6731"
4059,4591,100069,"4059, 4233, 4409, 4589, 4590, 4591"
2811,2260,100068,"2811, 2671, 2670, 2669, 2530, 2399, 2269, 2140, 2267, 2266, 2265, 2393, 2392, 2391, 2390, 2260"
4057,4230,100069,"4057, 4230"
