id,stationId,name,control,status,longitude,latitude,resolution,description
1100000,wrf0_79.848206_6.535172,wrf0_79.848206_6.535172,virtual,n/a,79.8482,6.53517,0,WRF point
1100001,wrf0_79.875435_6.535172,wrf0_79.875435_6.535172,virtual,n/a,79.8754,6.53517,0,WRF point
1100002,wrf0_79.902664_6.535172,wrf0_79.902664_6.535172,virtual,n/a,79.9027,6.53517,0,WRF point
1100003,wrf0_79.929893_6.535172,wrf0_79.929893_6.535172,virtual,n/a,79.9299,6.53517,0,WRF point
1100004,wrf0_79.957123_6.535172,wrf0_79.957123_6.535172,virtual,n/a,79.9571,6.53517,0,WRF point
1100005,wrf0_79.984352_6.535172,wrf0_79.984352_6.535172,virtual,n/a,79.9844,6.53517,0,WRF point
1100006,wrf0_80.011581_6.535172,wrf0_80.011581_6.535172,virtual,n/a,80.0116,6.53517,0,WRF point
1100007,wrf0_80.038811_6.535172,wrf0_80.038811_6.535172,virtual,n/a,80.0388,6.53517,0,WRF point
1100008,wrf0_80.066040_6.535172,wrf0_80.066040_6.535172,virtual,n/a,80.066,6.53517,0,WRF point
1100009,wrf0_80.093269_6.535172,wrf0_80.093269_6.535172,virtual,n/a,80.0933,6.53517,0,WRF point
1100010,wrf0_80.120499_6.535172,wrf0_80.120499_6.535172,virtual,n/a,80.1205,6.53517,0,WRF point
1100011,wrf0_80.147728_6.535172,wrf0_80.147728_6.535172,virtual,n/a,80.1477,6.53517,0,WRF point
1100012,wrf0_80.174957_6.535172,wrf0_80.174957_6.535172,virtual,n/a,80.175,6.53517,0,WRF point
1100013,wrf0_80.202187_6.535172,wrf0_80.202187_6.535172,virtual,n/a,80.2022,6.53517,0,WRF point
1100014,wrf0_80.229416_6.535172,wrf0_80.229416_6.535172,virtual,n/a,80.2294,6.53517,0,WRF point
1100015,wrf0_80.256645_6.535172,wrf0_80.256645_6.535172,virtual,n/a,80.2566,6.53517,0,WRF point
1100016,wrf0_80.283875_6.535172,wrf0_80.283875_6.535172,virtual,n/a,80.2839,6.53517,0,WRF point
1100017,wrf0_80.311104_6.535172,wrf0_80.311104_6.535172,virtual,n/a,80.3111,6.53517,0,WRF point
1100018,wrf0_80.338333_6.535172,wrf0_80.338333_6.535172,virtual,n/a,80.3383,6.53517,0,WRF point
1100019,wrf0_80.365562_6.535172,wrf0_80.365562_6.535172,virtual,n/a,80.3656,6.53517,0,WRF point
1100020,wrf0_80.392792_6.535172,wrf0_80.392792_6.535172,virtual,n/a,80.3928,6.53517,0,WRF point
1100021,wrf0_80.420021_6.535172,wrf0_80.420021_6.535172,virtual,n/a,80.42,6.53517,0,WRF point
1100022,wrf0_80.447250_6.535172,wrf0_80.447250_6.535172,virtual,n/a,80.4473,6.53517,0,WRF point
1100023,wrf0_80.474480_6.535172,wrf0_80.474480_6.535172,virtual,n/a,80.4745,6.53517,0,WRF point
1100024,wrf0_80.501709_6.535172,wrf0_80.501709_6.535172,virtual,n/a,80.5017,6.53517,0,WRF point
1100025,wrf0_80.528938_6.535172,wrf0_80.528938_6.535172,virtual,n/a,80.5289,6.53517,0,WRF point
1100026,wrf0_80.556168_6.535172,wrf0_80.556168_6.535172,virtual,n/a,80.5562,6.53517,0,WRF point
1100027,wrf0_80.583397_6.535172,wrf0_80.583397_6.535172,virtual,n/a,80.5834,6.53517,0,WRF point
1100028,wrf0_80.610626_6.535172,wrf0_80.610626_6.535172,virtual,n/a,80.6106,6.53517,0,WRF point
1100029,wrf0_80.637856_6.535172,wrf0_80.637856_6.535172,virtual,n/a,80.6379,6.53517,0,WRF point
1100030,wrf0_80.665085_6.535172,wrf0_80.665085_6.535172,virtual,n/a,80.6651,6.53517,0,WRF point
1100031,wrf0_80.692314_6.535172,wrf0_80.692314_6.535172,virtual,n/a,80.6923,6.53517,0,WRF point
1100032,wrf0_80.719543_6.535172,wrf0_80.719543_6.535172,virtual,n/a,80.7195,6.53517,0,WRF point
1100033,wrf0_80.746773_6.535172,wrf0_80.746773_6.535172,virtual,n/a,80.7468,6.53517,0,WRF point
1100034,wrf0_80.774002_6.535172,wrf0_80.774002_6.535172,virtual,n/a,80.774,6.53517,0,WRF point
1100035,wrf0_79.848206_6.562225,wrf0_79.848206_6.562225,virtual,n/a,79.8482,6.56223,0,WRF point
1100036,wrf0_79.875435_6.562225,wrf0_79.875435_6.562225,virtual,n/a,79.8754,6.56223,0,WRF point
1100037,wrf0_79.902664_6.562225,wrf0_79.902664_6.562225,virtual,n/a,79.9027,6.56223,0,WRF point
1100038,wrf0_79.929893_6.562225,wrf0_79.929893_6.562225,virtual,n/a,79.9299,6.56223,0,WRF point
1100039,wrf0_79.957123_6.562225,wrf0_79.957123_6.562225,virtual,n/a,79.9571,6.56223,0,WRF point
1100040,wrf0_79.984352_6.562225,wrf0_79.984352_6.562225,virtual,n/a,79.9844,6.56223,0,WRF point
1100041,wrf0_80.011581_6.562225,wrf0_80.011581_6.562225,virtual,n/a,80.0116,6.56223,0,WRF point
1100042,wrf0_80.038811_6.562225,wrf0_80.038811_6.562225,virtual,n/a,80.0388,6.56223,0,WRF point
1100043,wrf0_80.066040_6.562225,wrf0_80.066040_6.562225,virtual,n/a,80.066,6.56223,0,WRF point
1100044,wrf0_80.093269_6.562225,wrf0_80.093269_6.562225,virtual,n/a,80.0933,6.56223,0,WRF point
1100045,wrf0_80.120499_6.562225,wrf0_80.120499_6.562225,virtual,n/a,80.1205,6.56223,0,WRF point
1100046,wrf0_80.147728_6.562225,wrf0_80.147728_6.562225,virtual,n/a,80.1477,6.56223,0,WRF point
1100047,wrf0_80.174957_6.562225,wrf0_80.174957_6.562225,virtual,n/a,80.175,6.56223,0,WRF point
1100048,wrf0_80.202187_6.562225,wrf0_80.202187_6.562225,virtual,n/a,80.2022,6.56223,0,WRF point
1100049,wrf0_80.229416_6.562225,wrf0_80.229416_6.562225,virtual,n/a,80.2294,6.56223,0,WRF point
1100050,wrf0_80.256645_6.562225,wrf0_80.256645_6.562225,virtual,n/a,80.2566,6.56223,0,WRF point
1100051,wrf0_80.283875_6.562225,wrf0_80.283875_6.562225,virtual,n/a,80.2839,6.56223,0,WRF point
1100052,wrf0_80.311104_6.562225,wrf0_80.311104_6.562225,virtual,n/a,80.3111,6.56223,0,WRF point
1100053,wrf0_80.338333_6.562225,wrf0_80.338333_6.562225,virtual,n/a,80.3383,6.56223,0,WRF point
1100054,wrf0_80.365562_6.562225,wrf0_80.365562_6.562225,virtual,n/a,80.3656,6.56223,0,WRF point
1100055,wrf0_80.392792_6.562225,wrf0_80.392792_6.562225,virtual,n/a,80.3928,6.56223,0,WRF point
1100056,wrf0_80.420021_6.562225,wrf0_80.420021_6.562225,virtual,n/a,80.42,6.56223,0,WRF point
1100057,wrf0_80.447250_6.562225,wrf0_80.447250_6.562225,virtual,n/a,80.4473,6.56223,0,WRF point
1100058,wrf0_80.474480_6.562225,wrf0_80.474480_6.562225,virtual,n/a,80.4745,6.56223,0,WRF point
1100059,wrf0_80.501709_6.562225,wrf0_80.501709_6.562225,virtual,n/a,80.5017,6.56223,0,WRF point
1100060,wrf0_80.528938_6.562225,wrf0_80.528938_6.562225,virtual,n/a,80.5289,6.56223,0,WRF point
1100061,wrf0_80.556168_6.562225,wrf0_80.556168_6.562225,virtual,n/a,80.5562,6.56223,0,WRF point
1100062,wrf0_80.583397_6.562225,wrf0_80.583397_6.562225,virtual,n/a,80.5834,6.56223,0,WRF point
1100063,wrf0_80.610626_6.562225,wrf0_80.610626_6.562225,virtual,n/a,80.6106,6.56223,0,WRF point
1100064,wrf0_80.637856_6.562225,wrf0_80.637856_6.562225,virtual,n/a,80.6379,6.56223,0,WRF point
1100065,wrf0_80.665085_6.562225,wrf0_80.665085_6.562225,virtual,n/a,80.6651,6.56223,0,WRF point
1100066,wrf0_80.692314_6.562225,wrf0_80.692314_6.562225,virtual,n/a,80.6923,6.56223,0,WRF point
1100067,wrf0_80.719543_6.562225,wrf0_80.719543_6.562225,virtual,n/a,80.7195,6.56223,0,WRF point
1100068,wrf0_80.746773_6.562225,wrf0_80.746773_6.562225,virtual,n/a,80.7468,6.56223,0,WRF point
1100069,wrf0_80.774002_6.562225,wrf0_80.774002_6.562225,virtual,n/a,80.774,6.56223,0,WRF point
1100070,wrf0_79.848206_6.589272,wrf0_79.848206_6.589272,virtual,n/a,79.8482,6.58927,0,WRF point
1100071,wrf0_79.875435_6.589272,wrf0_79.875435_6.589272,virtual,n/a,79.8754,6.58927,0,WRF point
1100072,wrf0_79.902664_6.589272,wrf0_79.902664_6.589272,virtual,n/a,79.9027,6.58927,0,WRF point
1100073,wrf0_79.929893_6.589272,wrf0_79.929893_6.589272,virtual,n/a,79.9299,6.58927,0,WRF point
1100074,wrf0_79.957123_6.589272,wrf0_79.957123_6.589272,virtual,n/a,79.9571,6.58927,0,WRF point
1100075,wrf0_79.984352_6.589272,wrf0_79.984352_6.589272,virtual,n/a,79.9844,6.58927,0,WRF point
1100076,wrf0_80.011581_6.589272,wrf0_80.011581_6.589272,virtual,n/a,80.0116,6.58927,0,WRF point
1100077,wrf0_80.038811_6.589272,wrf0_80.038811_6.589272,virtual,n/a,80.0388,6.58927,0,WRF point
1100078,wrf0_80.066040_6.589272,wrf0_80.066040_6.589272,virtual,n/a,80.066,6.58927,0,WRF point
1100079,wrf0_80.093269_6.589272,wrf0_80.093269_6.589272,virtual,n/a,80.0933,6.58927,0,WRF point
1100080,wrf0_80.120499_6.589272,wrf0_80.120499_6.589272,virtual,n/a,80.1205,6.58927,0,WRF point
1100081,wrf0_80.147728_6.589272,wrf0_80.147728_6.589272,virtual,n/a,80.1477,6.58927,0,WRF point
1100082,wrf0_80.174957_6.589272,wrf0_80.174957_6.589272,virtual,n/a,80.175,6.58927,0,WRF point
1100083,wrf0_80.202187_6.589272,wrf0_80.202187_6.589272,virtual,n/a,80.2022,6.58927,0,WRF point
1100084,wrf0_80.229416_6.589272,wrf0_80.229416_6.589272,virtual,n/a,80.2294,6.58927,0,WRF point
1100085,wrf0_80.256645_6.589272,wrf0_80.256645_6.589272,virtual,n/a,80.2566,6.58927,0,WRF point
1100086,wrf0_80.283875_6.589272,wrf0_80.283875_6.589272,virtual,n/a,80.2839,6.58927,0,WRF point
1100087,wrf0_80.311104_6.589272,wrf0_80.311104_6.589272,virtual,n/a,80.3111,6.58927,0,WRF point
1100088,wrf0_80.338333_6.589272,wrf0_80.338333_6.589272,virtual,n/a,80.3383,6.58927,0,WRF point
1100089,wrf0_80.365562_6.589272,wrf0_80.365562_6.589272,virtual,n/a,80.3656,6.58927,0,WRF point
1100090,wrf0_80.392792_6.589272,wrf0_80.392792_6.589272,virtual,n/a,80.3928,6.58927,0,WRF point
